Horodateur,1. Quel est votre numéro étudiant ? (ex: e22XXXX),2. Quelle est la définition d’un ingénieur qui vous correspond le mieux ?,3. Êtes-vous plutôt programmation ... [Procédurale],3. Êtes-vous plutôt programmation ... [Orienté Object],3. Êtes-vous plutôt programmation ... [Fonctionnelle],"4. Quel est votre degré d'intérêt pour ces technologies ? (0 → aucun intérêt, 5 → passionné)   [Web (HTML, CSS , PHP , CMS)]","4. Quel est votre degré d'intérêt pour ces technologies ? (0 → aucun intérêt, 5 → passionné)   [Cloud (Azure, AWS,GCP)]","4. Quel est votre degré d'intérêt pour ces technologies ? (0 → aucun intérêt, 5 → passionné)   [Embarqué (Arduino, Assembleur, Raspberry...)]","4. Quel est votre degré d'intérêt pour ces technologies ? (0 → aucun intérêt, 5 → passionné)   [Mobile (Android, iOS,Cross-platform) ]","4. Quel est votre degré d'intérêt pour ces technologies ? (0 → aucun intérêt, 5 → passionné)   [Dev Jeux vidéo (Unity, Unreal Engine)]",5. Quelle(s) matière(s) avez-vous aimé particulièrement au lycée parmi les suivantes : ,6. Quel(s) cours avez-vous aimé particulièrement au semestre S5 ?,7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [LabView],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [Excel],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [Blender],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [Unity],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [Figma],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [Cisco Packet Tracer],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [SolidWorks],7. Quels logiciels / applications avez-vous l’habitude (ou avez-vous déjà utilisé) d’utiliser ?  [AutoCAD],"8. Parmi ces machines, lesquelles espérez-vous pouvoir utiliser au cours de vos projets d’année ? ",9. De quelles associations faites-vous partie ? Ou souhaitez-vous rejoindre? [K[art]el],9. De quelles associations faites-vous partie ? Ou souhaitez-vous rejoindre? [Ensimersion],9. De quelles associations faites-vous partie ? Ou souhaitez-vous rejoindre? [Ensim’elec],9. De quelles associations faites-vous partie ? Ou souhaitez-vous rejoindre? [Enigma],9. De quelles associations faites-vous partie ? Ou souhaitez-vous rejoindre? [L'Ensimien],"10. Si on vous donne une imprimante 3D, qu'est-ce que vous imprimez d’abord ?",11. Quels sont vos hobbies ?,12. Utilisez-vous des sites pour créer une palette de couleurs ?,"13. Votre ordinateur tombe en panne, que faites vous ?",14. Qu’avez-vous fait avant le cycle ingénieur ?,15. Quel est ton système d’exploitation que tu utilises le plus pour développer ?
10/11/2022 11:24:36,e201962,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,2,2,1,1,5,2,3,"Maths, Physique/Chimie, Sciences de l'ingénieur","Cryptographie (en Maths), Electronique, Programmation informatique, Algorithmique, Architecture des ordinateurs, Logique combinatoire et séquentielle",Ne connais pas,Un peu,Jamais,Jamais,Un peu,Jamais,Jamais,Ne connais pas,"Imprimante 3D, Cartes électroniques programmables (Arduino, Raspberry...), Oscilloscope",Pas intéressé,Interessé,Interessé,Pas intéressé,Pas intéressé,Statue de Mario,"Lecture, Bricolage, Jeux vidéos, Programmation",Non,Vous essayez de le réparer en passant par le BIOS,Prépa intégré,Windows
10/11/2022 11:25:40,E200293,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,1,2,2,2,2,3,5,"Maths, Physique/Chimie, Littérature/Philosophie, Histoire/Géographie","Cryptographie (en Maths), Physique, Programmation informatique, Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Tout le temps,Un peu,Un peu,Un peu,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Casque neuronal, Smartphones",Pas intéressé,Interessé,Interessé,J'y suis,Pas intéressé,Statue de Mario,"Sport, Art Dessin, Jeux vidéos, Musique, Musculation",Non,Vous le démontez pour comprendre d'où vient le problème,Prépa intégré,Windows
10/11/2022 11:25:43,e2205472,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,3,2,3,2,2,3,3,Histoire/Géographie,"Programmation informatique, Algorithmique, Technologie de l’internet, Introduction aux IHM",Ne connais pas,Régulièrement,Un peu,Jamais,Un peu,Ne connais pas,Un peu,Jamais,"Rien, les ordis c’est très bien",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Boitier pour sa carte arduino,"Jeux vidéos, Programmation ",Oui,Vous le démontez pour comprendre d'où vient le problème,BTS SIO,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:25:46,e2204879,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",2,3,2,3,1,0,2,3,"Maths, Arts Plastiques/Arts appliqués, Sciences de l'ingénieur","Cryptographie (en Maths), Programmation informatique, Technologie de l’internet, Architecture des ordinateurs, Introduction aux IHM",Un peu,Tout le temps,Un peu,Régulièrement,Tout le temps,Un peu,Un peu,Jamais,,Ne connais pas,J'y suis,Pas intéressé,Interessé,Pas intéressé,Statue de Mario,"Lecture, Sport, Jeux vidéos, Musculation, Programmation ",Oui,Vous essayez de le réparer en passant par le BIOS,BTS SN,MacOS
10/11/2022 11:25:59,e2204699,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",3,3,1,0,0,5,0,2,Sciences de l'ingénieur,"Cryptographie (en Maths), Architecture des ordinateurs",Un peu,Un peu,Ne connais pas,Ne connais pas,Un peu,Un peu,Un peu,Ne connais pas,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Casque neuronal",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Statue de Mario,Jeux vidéos,Non,Vous allez voir un réparateur,DUT Informatique,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:26:54,e2205039,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,3,2,1,2,2,1,1,"Physique/Chimie, Littérature/Philosophie, Sciences de gestion, Sciences de l'ingénieur","Cryptographie (en Maths), Physique, Anglais, Electronique, Programmation informatique, Logique combinatoire et séquentielle",Jamais,Un peu,Ne connais pas,Ne connais pas,Un peu,Régulièrement,Un peu,Jamais,"Drone, Casque VR",Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Une coque de téléphone,Trading ,Non,Vous essayez de le réparer en passant par le BIOS,CPGE MP2I/MPSI,Windows
10/11/2022 11:27:38,E2205565,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,3,2,3,3,2,3,3,5,"Maths, Physique/Chimie, Sciences de l'ingénieur","Cryptographie (en Maths), Programmation informatique, Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Jamais,Un peu,Jamais,Jamais,Un peu,Ne connais pas,Un peu,Ne connais pas,"Cartes électroniques programmables (Arduino, Raspberry...), Smartphones",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Statue de Mario,"Sport, Jeux vidéos",Non,Vous le démontez pour comprendre d'où vient le problème,CPGE MP,Windows
10/11/2022 11:28:01,e2205559,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,3,2,3,1,3,3,1,"Maths, Sciences de l'ingénieur","Cryptographie (en Maths), Programmation informatique, Algorithmique, Technologie de l’internet, Introduction aux IHM",Ne connais pas,Un peu,Jamais,Ne connais pas,,Ne connais pas,Jamais,Un peu,"Imprimante 3D, Drone, Casque VR, Casque neuronal, Smartphones",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Une coque de téléphone,"Sport, Musique, Musculation",Non,Vous essayez de le réparer en passant par le BIOS,CPGE MP,MacOS
10/11/2022 11:28:03,e2205212,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,2,3,2,1,3,3,3,"Maths, Physique/Chimie, Sciences de l'ingénieur","Cryptographie (en Maths), Anglais, Electronique, Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Régulièrement,Jamais,Jamais,Un peu,Ne connais pas,Un peu,Jamais,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Casque neuronal, Smartphones",,J'y suis,Interessé,,,Boitier pour sa carte arduino,"Bricolage, Sport, Jeux vidéos",Non,Vous allez voir un réparateur,CPGE MP,Windows
10/11/2022 11:28:05,e201142,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",2,2,2,2,1,3,3,2,"Maths, Physique/Chimie, Allemand","Cryptographie (en Maths), Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Régulièrement,Ne connais pas,Ne connais pas,Un peu,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...)",Pas intéressé,Ne connais pas,Interessé,Pas intéressé,Pas intéressé,Boitier pour sa carte arduino,"Lecture, Bricolage, Musique",Non,Vous le démontez pour comprendre d'où vient le problème,Prépa intégré,Windows
10/11/2022 11:28:27,E2204723,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,3,2,2,0,1,2,3,"Maths, Physique/Chimie",Cryptographie (en Maths),Ne connais pas,Un peu,Régulièrement,Régulièrement,Un peu,Un peu,Un peu,Ne connais pas,"Imprimante 3D, Casque VR, Smartphones",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Statue de Mario,"Jeux vidéos, Musique",Non,Vous le démontez pour comprendre d'où vient le problème,BTS SIO,Windows
10/11/2022 11:28:37,E222120191817,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,1,1,1,1,1,2,2,2,"Maths, Physique/Chimie, Histoire/Géographie, Sciences de l'ingénieur","Electronique, Programmation informatique, Algorithmique, Architecture des ordinateurs",Régulièrement,Un peu,Un peu,Un peu,Jamais,Tout le temps,Tout le temps,Régulièrement,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Oscilloscope, Casque neuronal, Smartphones",,,Interessé,,Interessé,Une coque de téléphone,"Lecture, Bricolage, Musique",Non,Vous essayez de le réparer en passant par le BIOS,,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:28:38,e2205343,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,1,3,2,2,0,2,2,Maths,"Anglais, Programmation informatique, Algorithmique, Introduction aux IHM",Jamais,Un peu,,Un peu,Régulièrement,Jamais,Jamais,Jamais,"Casque VR, Casque neuronal, Smartphones",Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Une coque de téléphone,"Lecture, Sport, Jeux vidéos, Musique",Non,Vous allez voir un réparateur,CPGE MP,Windows
10/11/2022 11:28:42,e22005023,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,1,1,5,5,0,5,3,"Maths, Sciences de l'ingénieur","Anglais, Programmation informatique, Technologie de l’internet, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Un peu,Ne connais pas,Jamais,Régulièrement,Jamais,Un peu,Jamais,Smartphones,Pas intéressé,Ne connais pas,Ne connais pas,Ne connais pas,Pas intéressé,Une coque de téléphone,Lecture,Oui,Vous essayez de le réparer en passant par le BIOS,BTS SIO,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:28:46,e2205261,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,2,3,1,1,0,1,2,5,"Maths, Littérature/Philosophie","Cryptographie (en Maths), Droit du travail, Programmation informatique",Ne connais pas,Jamais,Jamais,Un peu,Jamais,Ne connais pas,Jamais,Ne connais pas,Casque VR,Pas intéressé,J'y suis,Pas intéressé,J'y suis,Pas intéressé,Statue de Mario,"Sport, Jeux vidéos, Musique, Musculation",Non,Vous allez voir un réparateur,CPGE MP,Windows
10/11/2022 11:28:48,e201067,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,2,2,2,2,2,2,2,2,"Maths, Physique/Chimie","Cryptographie (en Maths), Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Un peu,Ne connais pas,Ne connais pas,Un peu,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Drone, Casque VR, Casque neuronal, Smartphones",Pas intéressé,Interessé,Pas intéressé,Pas intéressé,Pas intéressé,Une coque de téléphone,Musique,Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 11:28:54,e2205472,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",2,3,2,5,2,2,5,3,Histoire/Géographie,"Programmation informatique, Algorithmique, Technologie de l’internet, Introduction aux IHM",Ne connais pas,Régulièrement,Régulièrement,Régulièrement,Régulièrement,Jamais,Un peu,Un peu,"Rien, les ordis c’est très bien",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Boitier pour sa carte arduino,"Jeux vidéos, programmation ",,Vous le démontez pour comprendre d'où vient le problème,BTS SIO,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:29:03,e2206068,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,3,1,1,0,0,0,0,0,Littérature/Philosophie,"Cryptographie (en Maths), Anglais, Droit du travail, Electronique, Logique combinatoire et séquentielle",,Tout le temps,Ne connais pas,,Un peu,Ne connais pas,Jamais,Ne connais pas,"Smartphones, Rien, les ordis c’est très bien",,,,,Interessé,Une coque de téléphone,Lecture,Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 11:29:05,e2205046,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,3,2,3,3,2,3,5,Maths,"Cryptographie (en Maths), Programmation informatique, Algorithmique",Ne connais pas,Régulièrement,Jamais,Jamais,Un peu,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Smartphones",Pas intéressé,Ne connais pas,Interessé,Interessé,Pas intéressé,Statue de Mario,Jeux vidéos,Non,Vous essayez de le réparer en passant par le BIOS,CPGE MP,Windows
10/11/2022 11:29:29,E201931,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",2,1,1,2,3,5,2,0,"Physique/Chimie, Littérature/Philosophie, Sciences de l'ingénieur","Programmation informatique, Algorithmique, Architecture des ordinateurs",Ne connais pas,Régulièrement,Jamais,Jamais,Un peu,Un peu,Régulièrement,Jamais,"Imprimante 3D, Cartes électroniques programmables (Arduino, Raspberry...), Oscilloscope",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Boitier pour sa carte arduino,Automatiser ma maison,Non,Vous essayez de le réparer en passant par le BIOS,Prépa intégré,Windows
10/11/2022 11:29:32,U2107800,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,3,2,5,3,2,5,5,"Maths, Sciences de gestion, Sciences de l'ingénieur","Anglais, Electronique, Programmation informatique, Algorithmique, Technologie de l’internet, Architecture des ordinateurs, Logique combinatoire et séquentielle, Introduction aux IHM",Un peu,Tout le temps,,Un peu,Un peu,Régulièrement,Jamais,Jamais,"Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Smartphones",,Interessé,Interessé,,Interessé,Une coque de téléphone,"Sport, Jeux vidéos, Musique, Musculation",Non,Vous essayez de le réparer en passant par le BIOS,DUT Informatique,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 11:29:37,e2203685,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,1,1,3,1,0,3,2,"Maths, Littérature/Philosophie, Histoire/Géographie","Algorithmique, Introduction aux IHM",Ne connais pas,Un peu,Jamais,Jamais,Un peu,Ne connais pas,Jamais,Ne connais pas,"Smartphones, Rien, les ordis c’est très bien",Interessé,Pas intéressé,Pas intéressé,Pas intéressé,J'y suis,Une coque de téléphone,"Lecture, Sport, Jeux vidéos, Musique",Non,Vous allez voir un réparateur,CPGE BL,Windows
10/11/2022 11:30:25,e200776,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,2,2,0,1,5,2,2,"Maths, Physique/Chimie, Sciences de l'ingénieur","Algorithmique, Logique combinatoire et séquentielle",Régulièrement,Régulièrement,Jamais,Jamais,Un peu,Ne connais pas,Un peu,Un peu,"Imprimante 3D, Drone, Cartes électroniques programmables (Arduino, Raspberry...)",Pas intéressé,Pas intéressé,Interessé,Interessé,Pas intéressé,Boitier pour sa carte arduino,Jeux vidéos,Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 11:30:41,e2205435,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,2,2,2,5,2,2,5,5,"Maths, Physique/Chimie, Sciences de l'ingénieur","Cryptographie (en Maths), Programmation informatique, Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Régulièrement,Ne connais pas,Jamais,Régulièrement,Jamais,Un peu,Jamais,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Oscilloscope, Casque neuronal, Smartphones",Ne connais pas,Ne connais pas,Ne connais pas,,Ne connais pas,Une coque de téléphone,Musique,Non,Vous essayez de le réparer en passant par le BIOS,CPGE MP,Windows
10/11/2022 11:30:45,e2205562,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,1,1,3,3,5,5,5,"Maths, Physique/Chimie, Sciences de l'ingénieur","Physique, Electronique, Programmation informatique, Algorithmique, Logique combinatoire et séquentielle",Ne connais pas,Un peu,Ne connais pas,Ne connais pas,Un peu,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Cartes électroniques programmables (Arduino, Raspberry...), Casque neuronal, Smartphones",,,Interessé,,,Boitier pour sa carte arduino,"Bricolage, Sport, Jeux vidéos, Musique",Non,Vous le démontez pour comprendre d'où vient le problème,CPGE MP,Windows
10/11/2022 11:30:52,e2205762,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,1,2,1,5,0,0,5,2,"Maths, Littérature/Philosophie, Histoire/Géographie","Anglais, Conduite de projet, Droit du travail, Programmation informatique, Algorithmique, Technologie de l’internet, Introduction aux IHM",Ne connais pas,Un peu,Jamais,Jamais,Régulièrement,Un peu,Jamais,Jamais,"Rien, les ordis c’est très bien",Ne connais pas,Interessé,Ne connais pas,Ne connais pas,Ne connais pas,Une coque de téléphone,Musique,Non,Vous allez voir un réparateur,,Windows
10/11/2022 11:31:16,20202211,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",3,2,1,1,0,1,2,1,"Maths, Sport",Algorithmique,Jamais,Un peu,Jamais,Jamais,Un peu,Jamais,Régulièrement,Jamais,"Cartes électroniques programmables (Arduino, Raspberry...), Smartphones",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Une coque de téléphone,Sport,Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 11:31:25,e2204707,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,1,3,2,5,2,1,5,5,"Maths, Sciences de l'ingénieur","Programmation informatique, Algorithmique, Logique combinatoire et séquentielle, Introduction aux IHM",Jamais,Tout le temps,Un peu,Régulièrement,Un peu,Régulièrement,Un peu,Ne connais pas,"Casque VR, Smartphones",Pas intéressé,Interessé,Pas intéressé,Interessé,Pas intéressé,Statue de Mario,"Sport, Jeux vidéos, Programmation ",Oui,Vous le démontez pour comprendre d'où vient le problème,BTS SN,Windows
10/11/2022 11:34:14,e2205363,C’est un professionnel expert dans un domaine technique capable de résoudre des problèmes de haut niveau et innovants.,1,1,1,5,0,1,3,3,"Maths, Arts Plastiques/Arts appliqués, Électronique numérique ","Anglais, Programmation informatique, Algorithmique, Technologie de l’internet, Logique combinatoire et séquentielle",Jamais,Un peu,Ne connais pas,Jamais,Un peu,Un peu,Un peu,Ne connais pas,"Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Rien, les ordis c’est très bien",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Une coque de téléphone,"Bricolage, Sport, Jeux vidéos, Musique, Musculation",Oui,Vous essayez de le réparer en passant par le BIOS,,Windows
10/11/2022 11:35:21,s206985,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",1,1,1,5,3,1,5,3,"Maths, Physique/Chimie, Sciences de l'ingénieur, Sport","Cryptographie (en Maths), Droit du travail, Programmation informatique, Algorithmique, Introduction aux IHM",Ne connais pas,Un peu,Ne connais pas,Un peu,Un peu,Ne connais pas,Un peu,Ne connais pas,"Casque VR, Smartphones",Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Ne connais pas,Une coque de téléphone,"Sport, Jeux vidéos, Musique",Non,Vous allez voir un réparateur,CPGE MP,Windows
10/11/2022 11:39:37,20201116,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,1,2,2,2,1,1,2,2,"Maths, Physique/Chimie, Littérature/Philosophie, Histoire/Géographie, Arts Plastiques/Arts appliqués","Cryptographie (en Maths), Algorithmique",Ne connais pas,Régulièrement,Un peu,Jamais,Jamais,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Casque VR, Casque neuronal, Smartphones",Interessé,Pas intéressé,Pas intéressé,J'y suis,Pas intéressé,Statue de Mario,"Lecture, Sport, Art Dessin, Jeux vidéos, Jeux de société",Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 13:21:53,e2204701,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",3,3,2,2,3,5,3,2,"Maths, Physique/Chimie, Littérature/Philosophie, Sciences de gestion, Informatique et science du numerique","Cryptographie (en Maths), Physique, Conduite de projet, Architecture des ordinateurs, Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Régulièrement,Régulièrement,Un peu,Régulièrement,Ne connais pas,Un peu,Ne connais pas,"Imprimante 3D, Drone, Cartes électroniques programmables (Arduino, Raspberry...), Oscilloscope, Casque neuronal",Pas intéressé,,Interessé,J'y suis,Pas intéressé,Boitier pour sa carte arduino,"Lecture, Bricolage, Jeux vidéos, Musique",Oui,Vous essayez de le réparer en passant par le BIOS,DUT Informatique,"Distribution Linux (Ubuntu, Debian, Arch...)"
10/11/2022 14:27:02,e2204767,C’est avant tout un cadre supérieur technique qui a pour mission de piloter un projet et de gérer une ou plusieurs équipes en interface avec le client.,2,2,3,3,1,2,3,2,"Maths, Histoire/Géographie, Arts Plastiques/Arts appliqués, Sciences de l'ingénieur","Cryptographie (en Maths), Programmation informatique, Algorithmique, Technologie de l’internet, Architecture des ordinateurs, Logique combinatoire et séquentielle, Introduction aux IHM",Un peu,Régulièrement,Jamais,Régulièrement,Régulièrement,Jamais,Régulièrement,Régulièrement,"Imprimante 3D, Drone, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...), Casque neuronal, Smartphones",Pas intéressé,Interessé,Interessé,Pas intéressé,Pas intéressé,Des boutons,Sport,Non,Vous allez voir un réparateur,DUT Informatique,Windows
10/11/2022 14:30:40,e200790,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",2,2,2,3,2,3,3,3,Maths,"Cryptographie (en Maths), Logique combinatoire et séquentielle, Introduction aux IHM",Ne connais pas,Tout le temps,Ne connais pas,Jamais,Régulièrement,Ne connais pas,Régulièrement,Ne connais pas,"Imprimante 3D, Casque VR, Cartes électroniques programmables (Arduino, Raspberry...)",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Statue de Mario,"Lecture, Sport, Art Dessin, Jeux vidéos, Musique, Cuisine/patisserie",Non,Vous allez voir un réparateur,Prépa intégré,Windows
10/11/2022 17:35:35,e200942,"Un ingénieur est un Homme capable de prendre du recul et d’avoir une solide culture générale, technique et humaine.",3,2,1,3,0,0,2,2,"Maths, Littérature/Philosophie, Histoire/Géographie, Informatique et Sciences du Numérique","Cryptographie (en Maths), Programmation informatique, Algorithmique",Jamais,Régulièrement,Ne connais pas,Jamais,Ne connais pas,Ne connais pas,Un peu,Ne connais pas,"Smartphones, Rien, les ordis c’est très bien",Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Pas intéressé,Une coque de téléphone,"Sport, Jeux vidéos",Non,Vous allez voir un réparateur,Prépa intégré,Windows